price_model,k,box_lo,box_hi,delivery_start,total_charge_MWh,total_discharge_MWh,sat_hours,total_cost
single,0,0.05,0.95,2018-01-01 00:00:00+00:00,10.642659279778393,9.605,0,3166.058388424316
single,0,0.1,0.9,2018-01-01 00:00:00+00:00,10.642659279778393,9.605,0,3166.058388424316
single,0,0.15,0.85,2018-01-01 00:00:00+00:00,10.642659279778393,9.605,0,3166.058388424316
single,0,0.2,0.8,2018-01-01 00:00:00+00:00,10.642659279778393,9.605,0,3166.058388424316
single,0,0.25,0.75,2018-01-01 00:00:00+00:00,10.642659279778393,9.605,0,3166.058388424316
single,0,0.3,0.7,2018-01-01 00:00:00+00:00,10.642659279778393,9.605,0,3166.058388424316
single,0,0.35,0.65,2018-01-01 00:00:00+00:00,10.642659279778393,9.605,0,3166.058388424316
dual,0,0.05,0.95,2018-01-01 00:00:00+00:00,12.027465462299556,10.999986207728332,4,3660.931106274582
dual,0,0.1,0.9,2018-01-01 00:00:00+00:00,10.704621095794085,10.017094229455772,6,3666.040604941093
dual,0,0.15,0.85,2018-01-01 00:00:00+00:00,10.13909758231619,9.503488153373906,9,3675.978882220871
dual,0,0.2,0.8,2018-01-01 00:00:00+00:00,9.916484728790053,9.296189411652604,11,3828.49961930484
dual,0,0.25,0.75,2018-01-01 00:00:00+00:00,10.210199197791997,9.556102841888718,12,3847.2100704232867
dual,0,0.3,0.7,2018-01-01 00:00:00+00:00,10.690471465678193,9.968029938627302,12,3816.184830243488
dual,0,0.35,0.65,2018-01-01 00:00:00+00:00,14.802341995101353,12.33961228807284,15,3914.6011988069613
single,0,0.05,0.95,2018-01-02 00:00:00+00:00,10.421052631578949,9.405,0,4356.121107129561
single,0,0.1,0.9,2018-01-02 00:00:00+00:00,10.421052631578949,9.405,0,4356.121107129561
single,0,0.15,0.85,2018-01-02 00:00:00+00:00,10.421052631578949,9.405,0,4356.121107129561
single,0,0.2,0.8,2018-01-02 00:00:00+00:00,10.421052631578949,9.405,0,4356.121107129561
single,0,0.25,0.75,2018-01-02 00:00:00+00:00,10.421052631578949,9.405,0,4356.121107129561
single,0,0.3,0.7,2018-01-02 00:00:00+00:00,10.421052631578949,9.405,0,4356.121107129561
single,0,0.35,0.65,2018-01-02 00:00:00+00:00,10.421052631578949,9.405,0,4356.121107129561
dual,0,0.05,0.95,2018-01-02 00:00:00+00:00,10.905686547315323,9.84238210895208,0,4543.712954649822
dual,0,0.1,0.9,2018-01-02 00:00:00+00:00,10.480310503061302,9.438501137799447,6,4536.324117468363
dual,0,0.15,0.85,2018-01-02 00:00:00+00:00,10.214365387942149,9.225919674168146,8,4558.313433016279
dual,0,0.2,0.8,2018-01-02 00:00:00+00:00,9.583031394970394,8.771079227525028,8,4565.397771412454
dual,0,0.25,0.75,2018-01-02 00:00:00+00:00,9.248796156260298,8.758674295862185,10,4536.269314802184
dual,0,0.3,0.7,2018-01-02 00:00:00+00:00,8.723374466396619,8.165407823785756,9,4540.048114549624
dual,0,0.35,0.65,2018-01-02 00:00:00+00:00,15.58693802661282,13.981900112360467,17,4698.052147812514
single,0,0.05,0.95,2018-01-03 00:00:00+00:00,12.315789473684212,11.115,0,3949.6970879189325
single,0,0.1,0.9,2018-01-03 00:00:00+00:00,12.315789473684212,11.115,0,3949.6970879189325
single,0,0.15,0.85,2018-01-03 00:00:00+00:00,12.315789473684212,11.115,0,3949.6970879189325
single,0,0.2,0.8,2018-01-03 00:00:00+00:00,12.315789473684212,11.115,0,3949.6970879189325
single,0,0.25,0.75,2018-01-03 00:00:00+00:00,12.315789473684212,11.115,0,3949.6970879189325
single,0,0.3,0.7,2018-01-03 00:00:00+00:00,12.315789473684212,11.115,0,3949.6970879189325
single,0,0.35,0.65,2018-01-03 00:00:00+00:00,12.315789473684212,11.115,0,3949.6970879189325
dual,0,0.05,0.95,2018-01-03 00:00:00+00:00,11.152120567801465,10.041298860353422,1,3980.9286441917625
dual,0,0.1,0.9,2018-01-03 00:00:00+00:00,11.505171887754278,10.281183390626822,5,3980.557493830604
dual,0,0.15,0.85,2018-01-03 00:00:00+00:00,11.695321314058653,10.343515879209358,7,3976.5314516423123
dual,0,0.2,0.8,2018-01-03 00:00:00+00:00,11.829528391891778,10.424396077348323,8,3978.6075631127496
dual,0,0.25,0.75,2018-01-03 00:00:00+00:00,12.071588929589394,10.786145075855622,9,3972.2000961189583
dual,0,0.3,0.7,2018-01-03 00:00:00+00:00,12.22907604925024,10.809222322254278,10,3986.034785710473
dual,0,0.35,0.65,2018-01-03 00:00:00+00:00,14.426263778833178,13.114703060396945,17,4057.38290567467
single,0,0.05,0.95,2018-01-04 00:00:00+00:00,8.421052631578949,7.6,0,4187.615520750072
single,0,0.1,0.9,2018-01-04 00:00:00+00:00,8.421052631578949,7.6,0,4187.6155207500715
single,0,0.15,0.85,2018-01-04 00:00:00+00:00,8.421052631578949,7.6,0,4187.615520750072
single,0,0.2,0.8,2018-01-04 00:00:00+00:00,8.421052631578949,7.6,0,4187.615520750072
single,0,0.25,0.75,2018-01-04 00:00:00+00:00,8.421052631578949,7.6,0,4187.615520750072
single,0,0.3,0.7,2018-01-04 00:00:00+00:00,8.421052631578949,7.6,0,4187.615520750072
single,0,0.35,0.65,2018-01-04 00:00:00+00:00,8.421052631578949,7.6,0,4187.6155207500715
dual,0,0.05,0.95,2018-01-04 00:00:00+00:00,8.275336258916871,7.422585734260424,4,4244.0760378107825
dual,0,0.1,0.9,2018-01-04 00:00:00+00:00,8.148027384611622,7.205618792981128,3,4247.107960943514
dual,0,0.15,0.85,2018-01-04 00:00:00+00:00,7.958576090308908,7.025872893505819,7,4243.840776042366
dual,0,0.2,0.8,2018-01-04 00:00:00+00:00,7.815863408958704,6.948800366302333,8,4238.387545528262
dual,0,0.25,0.75,2018-01-04 00:00:00+00:00,8.965913272610488,7.66698410893104,10,4262.099986045414
dual,0,0.3,0.7,2018-01-04 00:00:00+00:00,9.504884161076395,8.168749367853072,11,4265.1129377562565
dual,0,0.35,0.65,2018-01-04 00:00:00+00:00,9.784107125482981,8.21716436157347,17,4474.65639460768
single,0,0.05,0.95,2018-01-05 00:00:00+00:00,8.210526315789474,7.409999999999999,0,4696.791517321253
single,0,0.1,0.9,2018-01-05 00:00:00+00:00,8.210526315789474,7.409999999999999,0,4696.791517321253
single,0,0.15,0.85,2018-01-05 00:00:00+00:00,8.210526315789474,7.409999999999999,0,4696.791517321253
single,0,0.2,0.8,2018-01-05 00:00:00+00:00,8.210526315789474,7.409999999999999,0,4696.791517321253
single,0,0.25,0.75,2018-01-05 00:00:00+00:00,8.210526315789474,7.409999999999999,0,4696.791517321253
single,0,0.3,0.7,2018-01-05 00:00:00+00:00,8.210526315789474,7.409999999999999,0,4696.791517321253
single,0,0.35,0.65,2018-01-05 00:00:00+00:00,8.210526315789474,7.409999999999999,0,4696.791517321253
dual,0,0.05,0.95,2018-01-05 00:00:00+00:00,10.078480258809966,9.097774272941965,4,4700.381264907757
dual,0,0.1,0.9,2018-01-05 00:00:00+00:00,9.515843686159176,8.643582430081238,6,4696.303431825021
dual,0,0.15,0.85,2018-01-05 00:00:00+00:00,8.569046506278305,7.815850951154978,7,4694.463636295975
dual,0,0.2,0.8,2018-01-05 00:00:00+00:00,8.262863330366716,7.464146517016855,7,4712.720648774428
dual,0,0.25,0.75,2018-01-05 00:00:00+00:00,8.56209410749185,7.6134269135341315,10,4710.2393521911745
dual,0,0.3,0.7,2018-01-05 00:00:00+00:00,8.47061503271089,7.370606338460837,10,4719.371596697088
dual,0,0.35,0.65,2018-01-05 00:00:00+00:00,10.490373725191924,9.154785485606064,18,4774.319066874855
single,0,0.05,0.95,2018-01-06 00:00:00+00:00,10.526315789473685,9.5,0,3878.533056496578
single,0,0.1,0.9,2018-01-06 00:00:00+00:00,10.526315789473685,9.5,0,3878.533056496578
single,0,0.15,0.85,2018-01-06 00:00:00+00:00,10.526315789473685,9.5,0,3878.533056496578
single,0,0.2,0.8,2018-01-06 00:00:00+00:00,10.526315789473685,9.5,0,3878.533056496578
single,0,0.25,0.75,2018-01-06 00:00:00+00:00,10.526315789473685,9.5,0,3878.533056496578
single,0,0.3,0.7,2018-01-06 00:00:00+00:00,10.526315789473685,9.5,0,3878.533056496578
single,0,0.35,0.65,2018-01-06 00:00:00+00:00,10.526315789473685,9.5,0,3878.533056496578
dual,0,0.05,0.95,2018-01-06 00:00:00+00:00,9.068146156742198,8.148389016597104,4,4260.415715359756
dual,0,0.1,0.9,2018-01-06 00:00:00+00:00,9.476241503378796,8.536806924222994,11,4238.812525322825
dual,0,0.15,0.85,2018-01-06 00:00:00+00:00,9.587369607448904,8.64460120368926,14,4228.459887383632
dual,0,0.2,0.8,2018-01-06 00:00:00+00:00,9.729165813262805,8.80412917458554,16,4384.272975750792
dual,0,0.25,0.75,2018-01-06 00:00:00+00:00,9.992934175784958,9.447147338669652,17,4431.376050025713
dual,0,0.3,0.7,2018-01-06 00:00:00+00:00,10.149603958280602,9.574978832309371,16,4436.980423747964
dual,0,0.35,0.65,2018-01-06 00:00:00+00:00,14.834892582629926,13.218008494397658,19,4425.632439489047
single,0,0.05,0.95,2018-01-07 00:00:00+00:00,8.31578947368421,7.505,0,4120.779142891549
single,0,0.1,0.9,2018-01-07 00:00:00+00:00,8.31578947368421,7.505,0,4120.779142891549
single,0,0.15,0.85,2018-01-07 00:00:00+00:00,8.31578947368421,7.505,0,4120.779142891549
single,0,0.2,0.8,2018-01-07 00:00:00+00:00,8.31578947368421,7.505,0,4120.779142891549
single,0,0.25,0.75,2018-01-07 00:00:00+00:00,8.31578947368421,7.505,0,4120.779142891549
single,0,0.3,0.7,2018-01-07 00:00:00+00:00,8.31578947368421,7.505,0,4120.779142891549
single,0,0.35,0.65,2018-01-07 00:00:00+00:00,8.31578947368421,7.505,0,4120.779142891549
dual,0,0.05,0.95,2018-01-07 00:00:00+00:00,10.189437336053127,9.12336491599884,4,4179.199361435166
dual,0,0.1,0.9,2018-01-07 00:00:00+00:00,9.950563330310423,8.73490235617821,6,4180.841716187095
dual,0,0.15,0.85,2018-01-07 00:00:00+00:00,9.495008258526482,8.188729597918403,7,4191.216215983084
dual,0,0.2,0.8,2018-01-07 00:00:00+00:00,9.483860416630556,8.041285414071279,7,4190.352323553204
dual,0,0.25,0.75,2018-01-07 00:00:00+00:00,10.607490517662953,8.997995826867445,11,4193.157372533336
dual,0,0.3,0.7,2018-01-07 00:00:00+00:00,11.406306262809359,9.84611457849077,11,4190.69240340542
dual,0,0.35,0.65,2018-01-07 00:00:00+00:00,12.610135973187578,10.805329339659288,12,4231.923385819179
single,0,0.05,0.95,2018-01-08 00:00:00+00:00,8.426592797783933,7.6049999999999995,0,4865.231508595733
single,0,0.1,0.9,2018-01-08 00:00:00+00:00,8.426592797783933,7.6049999999999995,0,4865.231508595733
single,0,0.15,0.85,2018-01-08 00:00:00+00:00,8.426592797783933,7.6049999999999995,0,4865.231508595733
single,0,0.2,0.8,2018-01-08 00:00:00+00:00,8.426592797783933,7.6049999999999995,0,4865.231508595733
single,0,0.25,0.75,2018-01-08 00:00:00+00:00,8.426592797783933,7.6049999999999995,0,4865.231508595733
single,0,0.3,0.7,2018-01-08 00:00:00+00:00,8.426592797783933,7.6049999999999995,0,4865.231508595733
single,0,0.35,0.65,2018-01-08 00:00:00+00:00,8.426592797783933,7.6049999999999995,0,4865.231508595733
dual,0,0.05,0.95,2018-01-08 00:00:00+00:00,8.243198435480599,7.363459614311758,2,4950.2493374146625
dual,0,0.1,0.9,2018-01-08 00:00:00+00:00,7.748048957031994,6.77900047146205,9,4970.485454229452
dual,0,0.15,0.85,2018-01-08 00:00:00+00:00,7.4358473717739235,6.458564305114832,11,4957.780021527001
dual,0,0.2,0.8,2018-01-08 00:00:00+00:00,7.6886959189472,6.444838919365821,13,4994.748475333898
dual,0,0.25,0.75,2018-01-08 00:00:00+00:00,7.576935591735265,6.592961090593585,15,4954.843047346105
dual,0,0.3,0.7,2018-01-08 00:00:00+00:00,7.736250847531012,6.683902083273196,15,4951.039034371714
dual,0,0.35,0.65,2018-01-08 00:00:00+00:00,7.291733025079786,6.432813610707063,19,4913.556107676066
single,0,0.05,0.95,2018-01-09 00:00:00+00:00,6.426592797783934,5.8,0,4573.381779587092
single,0,0.1,0.9,2018-01-09 00:00:00+00:00,6.426592797783934,5.8,0,4573.381779587092
single,0,0.15,0.85,2018-01-09 00:00:00+00:00,6.426592797783934,5.8,0,4573.381779587092
single,0,0.2,0.8,2018-01-09 00:00:00+00:00,6.426592797783934,5.8,0,4573.381779587092
single,0,0.25,0.75,2018-01-09 00:00:00+00:00,6.426592797783934,5.8,0,4573.381779587092
single,0,0.3,0.7,2018-01-09 00:00:00+00:00,6.426592797783934,5.8,0,4573.381779587092
single,0,0.35,0.65,2018-01-09 00:00:00+00:00,6.426592797783934,5.8,0,4573.381779587092
dual,0,0.05,0.95,2018-01-09 00:00:00+00:00,7.895727145228671,7.125893748568878,0,4637.345304601015
dual,0,0.1,0.9,2018-01-09 00:00:00+00:00,7.278346616278524,6.568707821191368,0,4641.223537028234
dual,0,0.15,0.85,2018-01-09 00:00:00+00:00,6.91361179182446,6.1831766897652365,4,4644.503672325692
dual,0,0.2,0.8,2018-01-09 00:00:00+00:00,6.5950844113605775,5.812534039982284,4,4656.6090087788425
dual,0,0.25,0.75,2018-01-09 00:00:00+00:00,7.178642417756997,6.242753414575166,9,4651.342836646976
dual,0,0.3,0.7,2018-01-09 00:00:00+00:00,7.213047974132087,6.260932698419253,9,4646.589838889404
dual,0,0.35,0.65,2018-01-09 00:00:00+00:00,10.990726166866498,9.485655100133435,14,4865.3843829384305
single,0,0.05,0.95,2018-01-10 00:00:00+00:00,8.421052631578947,7.6,0,4369.201931106546
single,0,0.1,0.9,2018-01-10 00:00:00+00:00,8.421052631578947,7.6,0,4369.201931106546
single,0,0.15,0.85,2018-01-10 00:00:00+00:00,8.421052631578947,7.6,0,4369.201931106546
single,0,0.2,0.8,2018-01-10 00:00:00+00:00,8.421052631578947,7.6,0,4369.201931106546
single,0,0.25,0.75,2018-01-10 00:00:00+00:00,8.421052631578947,7.6,0,4369.201931106546
single,0,0.3,0.7,2018-01-10 00:00:00+00:00,8.421052631578947,7.6,0,4369.201931106546
single,0,0.35,0.65,2018-01-10 00:00:00+00:00,8.421052631578947,7.6,0,4369.201931106546
dual,0,0.05,0.95,2018-01-10 00:00:00+00:00,9.120269608050766,8.231043321265815,0,4545.519441316785
dual,0,0.1,0.9,2018-01-10 00:00:00+00:00,8.551698185640381,7.767410193270539,3,4617.967503213012
dual,0,0.15,0.85,2018-01-10 00:00:00+00:00,8.302380364421293,7.549994238026424,4,4637.855513220323
dual,0,0.2,0.8,2018-01-10 00:00:00+00:00,8.194861646812587,7.463627608227687,5,4669.280474072699
dual,0,0.25,0.75,2018-01-10 00:00:00+00:00,8.442746820454168,7.664896323641857,9,4683.95314350383
dual,0,0.3,0.7,2018-01-10 00:00:00+00:00,9.612742247002517,8.71619841474674,8,4716.499405871625
