price_model,k,box_lo,box_hi,total_charge_MWh_sum,total_charge_MWh_mean,total_discharge_MWh_sum,total_discharge_MWh_mean,sat_hours_sum,sat_hours_mean,sat_MWh_sum,sat_MWh_mean,n_days
dual,0,0.05,0.95,7218.837662531807,19.77763743159399,6588.382615814151,18.050363330997673,7428,20.350684931506848,25923.922854519198,71.02444617676493,365
dual,0,0.1,0.9,7227.1183617641445,19.800324278805874,6573.148725078868,18.00862664405169,7546,20.673972602739727,30257.335772162704,82.89681033469233,365
dual,0,0.15,0.85,7233.89094744918,19.818879308079946,6548.499181250421,17.94109364726143,7547,20.676712328767124,29106.83518825778,79.74475394043228,365
dual,0,0.2,0.8,7390.757513464057,20.248650721819335,6691.967271590419,18.334156908466902,7516,20.59178082191781,27361.02945433452,74.96172453242335,365
dual,0,0.25,0.75,7074.838444411563,19.383119025785103,6425.032012334343,17.602827431052994,7503,20.556164383561644,24157.412024238136,66.18469047736475,365
dual,0,0.3,0.7,7059.944298134637,19.342313145574348,6408.570474617949,17.557727327720407,7476,20.482191780821918,25394.308654630855,69.57344836885166,365
dual,0,0.35,0.65,5993.719358567127,16.421148927581168,5457.875858699725,14.953084544382808,7616,20.865753424657534,23433.173639571953,64.20047572485467,365
dual,1,0.05,0.95,8141.173257713458,22.304584267708105,7444.579154843006,20.396107273542484,4927,13.498630136986302,14590.128543777131,39.972954914457894,365
dual,1,0.1,0.9,7961.511048451774,21.812359036854176,7276.484785906474,19.93557475590815,5100,13.972602739726028,13452.948023180434,36.85739184432995,365
dual,1,0.15,0.85,7750.713119249355,21.234830463696863,7081.63911134061,19.401750989974275,5508,15.09041095890411,12992.504120575952,35.59590170020809,365
dual,1,0.2,0.8,7534.879945171035,20.643506699098726,6886.605014260325,18.867410997973494,5649,15.476712328767123,13390.215368818412,36.685521558406606,365
dual,1,0.25,0.75,7186.09668057528,19.68793611116515,6563.930085213018,17.983370096474022,6303,17.268493150684932,13616.222528840417,37.304719257097034,365
dual,1,0.3,0.7,7152.126069598414,19.594865944105244,6544.760566421255,17.930850866907548,6384,17.49041095890411,14500.48271518725,39.727349904622606,365
dual,1,0.35,0.65,6293.54013372105,17.242575708824795,5765.523227825723,15.795954048837597,6914,18.942465753424656,16192.680816363329,44.36350908592693,365
single,0,0.05,0.95,3497.271620636945,9.581566083936837,3156.096170656394,8.646838823716148,5035,13.794520547945206,16.04869081032525,0.04396901591869932,365
single,0,0.1,0.9,3498.485140463341,9.584890795789976,3157.2612315313736,8.650030771318832,4208,11.528767123287672,11.851330985291028,0.032469399959701446,365
single,0,0.15,0.85,3499.0807610040165,9.586522632887716,3158.0414392787725,8.652168326791157,4097,11.224657534246575,10.990423387164942,0.03011074900593135,365
single,0,0.2,0.8,3498.1656196811537,9.584015396386722,3157.22122572769,8.649921166377233,4374,11.983561643835616,14.678393045296222,0.04021477546656499,365
single,0,0.25,0.75,3495.9705253323427,9.578001439266693,3155.2866912577792,8.64462107193912,4956,13.578082191780823,20.304023929476244,0.05562746282048286,365
single,0,0.3,0.7,3496.0212070052453,9.578140293165056,3155.355308255452,8.644809063713568,4883,13.378082191780821,20.290068481819024,0.055589228717312394,365
single,0,0.35,0.65,3495.0109736590052,9.575372530572617,3154.441682287536,8.642305978869961,5376,14.728767123287671,21.632422741997903,0.05926691162191206,365
single,1,0.05,0.95,8141.173257713458,22.304584267708105,7444.579154843006,20.396107273542484,4927,13.498630136986302,14590.128543777131,39.972954914457894,365
single,1,0.1,0.9,7961.511048451774,21.812359036854176,7276.484785906474,19.93557475590815,5100,13.972602739726028,13452.948023180434,36.85739184432995,365
single,1,0.15,0.85,7750.713119249355,21.234830463696863,7081.63911134061,19.401750989974275,5508,15.09041095890411,12992.504120575952,35.59590170020809,365
single,1,0.2,0.8,7534.879945171035,20.643506699098726,6886.605014260325,18.867410997973494,5649,15.476712328767123,13390.215368818412,36.685521558406606,365
single,1,0.25,0.75,7186.09668057528,19.68793611116515,6563.930085213018,17.983370096474022,6303,17.268493150684932,13616.222528840417,37.304719257097034,365
single,1,0.3,0.7,7152.126069598414,19.594865944105244,6544.760566421255,17.930850866907548,6384,17.49041095890411,14500.48271518725,39.727349904622606,365
single,1,0.35,0.65,6293.54013372105,17.242575708824795,5765.523227825723,15.795954048837597,6914,18.942465753424656,16192.680816363329,44.36350908592693,365
